text,pre_label,notes,prelabeled,changed_on_review,,labels,count
"That's what everyone is saying what if it's different this time, since there's no negative catalyst surrounding mu earnings. Last earnings dropped because markets were already dropping before mu earnings, high oil and Iran war. This earnings we got Iran war out of the way, oil dipping and fomc out of the way",analysis,Reasons about why this earnings differs (catalysts cleared).,yes,,,,
SK Hynix has and will continue to outperform mu,speculation,"Bold directional claim, no support.",yes,,,,
DRAM to the moon!,reaction,BORDERLINE: pure hype exclamation. Leans reaction (alt: speculation).,yes,,,,
Yea Tomorrow we should be up at least 15% to catch up to SK.,speculation,Directional prediction with a number.,yes,,,,
how to buy SK hynix ?,question,,yes,,,,
"So I went 2x margin MU last year and took out an additional Heloc to ride the AI wave. I don't see how $2,000 won't be achieved this in the next 12 months. So I feel like this is just the beginning of our run boys!",speculation,BORDERLINE: $2000/12mo price conviction + hype/leverage story. Leans speculation (alt: reaction).,yes,,,,
Down 1.23% what a loser,reaction,"Dismissive emotional, short.",yes,,,,
"My share is up 1075%. Yes, one share.",reaction,BORDERLINE: wry brag. Apply your brag rule (reaction vs FILTER).,yes,,,,
"I officially closed my $MU position after a 1,600% return. I love the company and it will still go up for sure.",reaction,"BORDERLINE: realized-gain brag + affection, with a 'will go up' tag. Leans reaction (alt: speculation).",yes,,,,
This is deeply bullish. MU now gets to eat some of Anthropic's lunch after their IPO later this year,speculation,BORDERLINE: bold bullish call + gestural reason. Leans speculation (alt: thin analysis).,yes,,,,
"So SNDK reactions after MU earnings is usually much stronger on the upside return the following month. Second we get end of July the SNDK earnings, which usually show us another +20% to +30% return after. So holding SNDK is preferable to MU.",analysis,Historical-pattern argument -> conclusion.,yes,,,,
DELL did over $95b in revenue in 2025 and are projecting ~$165b in 2026. A $1.44b multiyear contract is a drop in the bucket.,analysis,Argues materiality with figures.,yes,,,,
"Dell's software team sells a lot of these microsoft licencing deals at or near cost. It's not going to move the needle much, It's revenue, not margin. If it was 1.44b in ai infrastructure, that would have been notable as notable margin would have come with it.",analysis,Revenue-vs-margin reasoning.,yes,,,,
Dell is SIGNIFICANTLY overvalued at the momen,speculation,Bold undefended claim.,yes,,,,
What Does a 600% Wealth-to-GDP Ratio Actually Mean?,question,,yes,,,,
Bubbles can work oddly. If enough people think you are in a bubble the burst may never happen because they typically trade thinking it will go down relieving the downward pressure. They tend to burst when you don't think you are in a bubble. The last big one happened with very few investors knew it was coming. Today we have social media where everyone knows everything so no telling if we will get a burst like before. Someone who predicts when if it does happen would get rich fast if they backup their guess.,analysis,Reasoned argument about bubble psychology.,yes,,,,
I mean obvious long term MSFT? ...not sure if 2nd half of 2026 will be enough for a short ralley.,speculation,BORDERLINE: casual directional opinion. Leans speculation.,yes,,,,
RDDT is my pick. Incredibly undervalued.,speculation,Bold pick + undefended claim.,yes,,,,
Oh and MSFT is a no brainer at this price.,speculation,Bold undefended call.,yes,,,,
"People will just offer their bags to you. Ill try to keep it general, the cycle which drives hw stocks up isnt over yet, might very well continue for two quarters maybe not in the same intensity ofc",speculation,"BORDERLINE: forward call (cycle not over), vague support. Leans speculation (alt: analysis).",yes,,,,
PL. Easy 2x by end of 2026.,speculation,Bold price call.,yes,,,,
"NFLX, testing 52 week lows last seen from WB deal fallout which was canceled. Trading at almost below 20x 2027 EPS estimates, Ad business is growing like crazy, international expansion is growing like crazy, and authorized share buybacks for over 10% of the company. Concerns about user engagement and liquidity from AI trades are hurting sentiment.",analysis,Multi-point valuation/fundamental argument.,yes,,,,
"I sold my MU to get early positions on MDA, FLT and PNG. I am making bets that Canada will make big investments with their newly announced Defence fund.",speculation,BORDERLINE: 'making bets' on a one-line catalyst (Canada defence fund). Leans speculation (alt: thin analysis).,yes,,,,
"I bought a tiny bit more today so I have exactly 200 shares. Hardly worth the investment trouble and definitely overpriced. But I can sell covered calls for next month $25 out of the money for $2,000 for two contracts. If the stock runs it would need to get to $220 before I start losing money on calls (but that means I made $7,000 so no complaints. If it doesn't hit $210 I just pocket $2,000 if it falls from here I still have $10 per share of downside protection. The risk is it loses $50 a share from here in one month. Possible but unlikely.",analysis,Detailed options-strategy reasoning with numbers and risk.,yes,,,,
"I picked up a small position with credo, former marvell engineers, supplying data center components with future tech in dev like silicon photonics. Not a long hold. Mrvl and sndk are a better choice in long run, as their run isn't over.",analysis,Thesis with rationale + comparison.,yes,,,,
"ZIM is a good bet if you're into merger arbitrage. $25 now gets you $35 cash if and when the merger goes through, probably in Q4. They have an even better offer at $37.50 if their buyout offer with Hapag Lloyd falls through. The major risk is that the Israeli government could vote to block the merge",analysis,Merger-arb argument with figures and risk.,yes,,,,
"SPCX, bullish on space travel and time travel",reaction,BORDERLINE: jokey hype ('time travel'). Leans reaction (alt: speculation).,yes,,,,
Everyone is throwing out space stocks as if theirs any hype for them anymore. Y'all can downvote me if you wish but you will have 0 momentum for a very long time. What's going to change? Who's rushing to get to space right now? SPCX hyped everyone that it was happening now but it's not.,analysis,BORDERLINE: bearish thesis argued via rhetorical Qs (no near-term catalyst). Leans analysis (alt: speculation).,yes,,,,
What do you think could bring in growth in next 1-3 years?,question,,yes,,,,
"Am I crazy for thinking AMD is undervalued here? It's trading at a discount to NVDA on forward earnings despite taking MI300 market share, and the data-center segment doubled YoY...",analysis,Question framing is rhetorical; the body is a real undervaluation argument with evidence. (This is the exact 'question-that-argues' edge case from your planning.md.),yes,,,,
ETH is massively undervalued - its P/E equivalent is way below its historical average.,speculation,"Your canonical one-stat-flex edge case: single decorative metric, no real comparison. (Logged hard case.)",yes,,,,
Down 40% today because the Fed spooked everyone with the rate comments. Brutal.,reaction,"Emotional response to a move; the 'because Fed' is a one-clause aside, not an argument. (Your reaction-with-a-reason edge case.)",yes,,,,
Shorting SPCX post-IPO while long QQQ?,question,Asking for input on a trade idea.,yes,,,,
Wow. I sold my position literally two days ago because I thought the market was dead. Watching it pump right after I exited is painful. Congrats to everyone who held through the volatility.,reaction,"Rueful regret, pure emotion. (Good medium-length reaction.)",yes,,,,
This rally feels completely disconnected from reality. Nothing about the fundamentals justifies a 20% move in a week. I've seen this setup before and it usually ends with retail getting trapped near the top,analysis,BORDERLINE analysis/reaction: emotional opener but argues a thesis (move unjustified by fundamentals + pattern). Leans analysis.,yes,,,,
"Believe it or not, this is my single biggest hesitation. But the bigger it is, the harder to game. Fwiw, TSLA also crashed shortly after IPO.",analysis,BORDERLINE: small point with a historical comparison (TSLA post-IPO); it's a reply. Leans analysis (thin).,yes,,,,
You're shorting a stock with a 4% float before the Nasdaq 100 inclusion,analysis,"Points out a specific risk (low float + index inclusion) as a counter-argument. Reply, but self-contained enough.",yes,,,,
"Musk owns the US government, I wouldn't do it",reaction,"BORDERLINE: dismissive one-liner opinion + advice, no real argument. Leans reaction (alt: speculation as a bold undefended claim).",yes,,,,
"SPCX is a wild child but I am sure it is and will be correlated to Nasdaq100, so you reasoning is 100% opposite.",analysis,BORDERLINE: a claim with light reasoning (correlation to Nasdaq100) rebutting another poster. Leans analysis (thin).,yes,,,,
"Do you integrate ""Quality"" indices and ""Value"" indices?",question,,yes,,,,
nothing will beat the highs of crypto vs SPY 0DTE,speculation,Bold undefended comparative claim (hot-take rule).,yes,,,,
I'm getting severe FOMO on semis and DRAM,reaction,"Pure emotion (FOMO), no argument. Short reaction.",yes,,,,
"I was insanely bullish on MU earnings until I saw the new whisper targets coming out over the weekend. Goldman Sachs now has its predictions so fucking high that even if MU falls in with a MASSIVE beat and guidance raise, it will only meet the unofficial wall street expectations",analysis,Argues a specific point (whisper numbers so high a beat only meets expectations). (Two CSV lines were one post - merged.),yes,,,,
Green on a mostly red day!,reaction,"Emotional/euphoric, short.",yes,,,,
A little gain after diamond hands. Will take profits bY WHENSDAY LOL and rebuy ON Thursday.,reaction,BORDERLINE: emotional gain post + a casual plan. Leans reaction (alt: speculation for the buy/sell plan). Typos/caps are real text - keep.,yes,,,,
"Bought ACN puts instead of ACM, got 3000%",reaction,BORDERLINE: gain-brag (with a wry error twist). ,yes,,,,
Fuck everyone. 4.5 years to get to a million without options and I'm done!,reaction,Emotional outburst (frustration/triumph mix). Profanity is real text - keep.,yes,,,,
Good bye to trump era of option trading,reaction,"BORDERLINE: cryptic emotional/declarative one-liner, thin. Leans reaction.",yes,,,,
"Holy shit I hope you're joking or a bot because this in ungodly stupid. Never touch stock trading again in your life, just S&P500 or some other ETF and NOTHING. ELSE.",reaction,BORDERLINE: heated reply at another user; emotional. Leans reaction (it's a reply - check self-containment).,yes,,,,
I bought MRVL at $82 off hiring data. It's $325 now and I can't decide whether to sell.,question,,,,,,
